hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y_Mcr_u_eq
667;1000;4.19;1000;57.89;750;21.32;0.25;36000;2.893332275
900;900;10.45;450;26.05;675;46.54;-0.5;7200;1.250088915
171;600;2;150;8.68;150;7.03;1;2400;1.005375754
1000;1000;8.57;500;10.53;750;13.03;0.5;12000;0.660525448
1000;1000;6.79;500;34.47;250;11.71;-0.25;24000;6.145682676
533;800;3.35;600;48;400;27.58;0;12800;3.274159303
267;400;1.33;200;13.79;400;29.05;-0.25;4000;1.042693463
900;360;7.71;450;19.42;225;13.03;0.75;16200;2.602595329
667;1000;8.57;250;17.24;1000;50.53;-0.25;14000;1.270458386
300;100;12;75;12;150;12;0.75;10800;1.145819768
1000;500;5.62;500;23.42;1000;46.84;0.5;30000;1.198743686
86;300;1.26;225;11.37;75;4.07;0;9000;5.210082759
600;400;24;450;24;450;27.71;0.25;9600;1.540624276
229;800;4.5;400;26.11;600;45.79;0.75;28800;1.297967647
1000;1000;11.61;500;40;250;11.61;-0.5;24000;6.054465106
700;200;6;700;12.16;700;12.16;0.75;11200;1.116140425
800;800;2.67;200;13.05;600;48;-0.25;16000;1.893050384
600;200;5.14;450;5.14;600;8.21;-1;13200;2.022864758
200;500;2.09;125;9.54;250;9.87;0.5;2000;0.418316814
500;143;9;125;9;250;9;0.75;14000;0.966913522
1000;500;5.62;1000;54.21;500;32.63;0.75;40000;2.32718883
400;800;32;400;32;600;32;0;20800;1.50612362
900;360;7.71;450;7.71;675;54;0.25;14400;1.395387216
114;400;16;100;16;300;21.79;-0.5;15200;3.069436976
114;400;1.48;100;6.89;100;8;0;15200;1.812928546
400;1000;8.57;500;40;750;26.84;1;22000;0.828267341
700;350;6;175;8.2;525;28.46;-0.5;26600;2.937034628
500;167;2.81;250;5.26;250;5.26;0;18000;2.275189875
267;800;4.5;800;52.21;400;4.5;-0.75;24000;5.161419576
450;900;7.71;675;29.13;450;17.76;0.25;14400;2.69284346
250;500;1.67;375;14.8;500;27.11;-0.25;7000;1.393285372
75;300;1.69;150;2.05;150;2.61;0.5;3000;1.028768645
1000;1000;6.79;500;19.74;750;21.32;-1;36000;2.212052572
700;233;28;525;28;350;28;0.5;7000;1.949897337
700;700;3.36;525;34.26;175;8.2;0;7000;8.02984387
800;800;3.84;400;24.63;600;41.37;-1;16000;2.122507297
700;280;12.6;700;25.05;700;50.84;-0.25;26600;2.213923897
400;160;2.25;100;2.25;200;5.68;-1;2400;0.981104942
160;400;2.25;400;32;200;12.32;0.75;9600;2.826342089
400;200;2.72;300;22.89;300;8.53;0;13600;2.79535398
900;600;3.34;900;68.68;900;32.21;0.5;7200;1.765765322
233;700;3.94;175;8.84;350;15.11;1;25200;1.049393624
400;600;5.14;600;30.32;450;36;0.25;24000;1.755025467
500;167;5.81;250;12.63;250;14.47;-1;18000;2.89045817
533;800;4.5;400;26.11;400;18.74;-0.75;3200;2.500307904
800;267;32;800;46.32;600;41.37;0.75;8000;1.525428259
400;1000;6.79;750;51.71;250;17.24;-1;16000;2.090897518
900;450;10.45;900;62.05;900;65.37;0;18000;1.959795386
500;500;2.81;125;7.7;500;17.89;0.25;3000;0.166820011
300;200;1.44;225;13.86;300;11.84;1;6000;0.805028503
900;600;4.32;900;22.26;450;24.39;0.5;21600;2.481953182
200;500;1.67;125;7.24;125;2.17;-0.25;2000;2.457973607
600;300;24;300;24;150;24;-0.5;4800;4.0075457
800;800;2.67;400;9.89;800;13.89;0.5;22400;0.524790052
360;900;3.34;450;11.13;675;26.64;0.75;32400;1.11936277
500;167;5.81;125;5.81;500;32.63;-0.25;10000;2.649625997
300;75;3.48;225;4.74;150;3.48;-0.5;9000;5.712741055
400;267;7.2;400;24.63;100;7.2;-0.25;1600;3.368380563
1000;333;18;500;28.95;500;18;0.25;22000;1.944628793
467;700;28;700;50.84;175;28;0.5;4200;4.63421599
